p[kN/m]@6m,y[m]@6m,p[kN/m]@11m,y[m]@11m,p[kN/m]@16m,y[m]@16m,p[kN/m]@24m,y[m]@24m,p[kN/m]@40m,y[m]@40m,p[kN/m]@49m,y[m]@49m
123.613365,0.35933623,123.613365,0.4631345,123.613365,0.20081642,917.2943,0.32480702,8441.292,0.015512211,19341.588,0.029014885
123.613365,0.36016765,123.613365,0.46325544,123.613365,0.20087449,917.2943,0.32522428,8443.453,0.015542274,19346.543,0.029071117
123.613365,0.3602591,123.613365,0.4637517,123.613365,0.20147154,917.2943,0.32532632,8445.599,0.015572337,19351.457,0.029127346
123.613365,0.36123958,123.613365,0.46396416,123.613365,0.20215838,917.2943,0.3265348,8447.728,0.015602399,19356.334,0.029183578
123.613365,0.36204103,123.613365,0.46558365,123.613365,0.20220834,917.2943,0.32736745,8449.84,0.015632462,19361.174,0.029239807
123.613365,0.36212435,123.613365,0.46578616,123.613365,0.20266283,917.2943,0.32742032,8451.936,0.015662523,19365.977,0.029296039
123.613365,0.36271197,123.613365,0.4661349,123.613365,0.20267373,917.2943,0.32761687,8454.015,0.015692586,19370.742,0.029352268
123.613365,0.36314747,123.613365,0.46617752,123.613365,0.20289676,917.2943,0.3282835,8456.078,0.01572265,19375.469,0.0294085
123.613365,0.3639917,123.613365,0.4664304,123.613365,0.20357002,917.2943,0.3292899,8458.126,0.01575271,19380.16,0.02946473
123.613365,0.36412764,123.613365,0.4677429,123.613365,0.20367762,917.2943,0.32944888,8460.157,0.015782773,19384.816,0.029520959
123.613365,0.36618233,123.613365,0.4677431,123.613365,0.20398176,917.2943,0.32960188,8462.174,0.015812837,19389.436,0.02957719
123.613365,0.3668726,123.613365,0.4683087,123.613365,0.20469563,917.2943,0.32964218,8464.174,0.015842898,19394.02,0.02963342
123.613365,0.36699197,123.613365,0.46880984,123.613365,0.20515533,917.2943,0.32972363,8466.158,0.01587296,19398.566,0.029689651
123.613365,0.36703664,123.613365,0.46969274,123.613365,0.20519297,917.2943,0.3298707,8468.128,0.015903022,19403.08,0.02974588
